Motown Extreme,4.5,54,36.0997436,-115.167493,Las Vegas
Subway Restaurants,2.5,33,36.2838237,-115.287021,Las Vegas
Fiesta Filipina Cuisine,3.5,107,36.0541003,-115.2780632,Las Vegas
Filipino Fast Food & Asian Market,3.5,11,36.0213081655,-115.1266158065,Las Vegas
888 Noodle Bar,3.0,37,36.1345820974,-115.1516103745,Las Vegas
Blue Water Restaurant & Sports Bar,3.0,13,36.0162554,-115.1187329,Las Vegas
USO Terminal 1,4.5,18,36.0878948,-115.1508702,Las Vegas
The Filament,4.0,20,36.170643,-115.142846,Las Vegas
Mr Beijing,3.5,177,36.1151541,-115.1480156,Las Vegas
Juice Bar At LVAC,3.0,43,36.1124767,-115.3012604,Las Vegas
Wetzel's Pretzels,3.5,16,36.068267,-115.177063,Las Vegas
Timbers Sunset,3.5,50,36.071908,-115.107697,Las Vegas
Tekka Bar: Handroll & Sake,4.0,143,36.109967,-115.1754,Las Vegas
Vegas Best Pizza,3.0,85,36.102907,-115.155708,Las Vegas
Taco Bell,2.5,38,36.122409,-115.13732,Las Vegas
China A GoGo,4.0,69,36.299377,-115.281418,Las Vegas
Lobster Chowder Company,2.5,24,36.1179352,-115.1748371,Las Vegas
Morels Steakhouse & Bistro,3.5,778,36.1246035827,-115.1689884856,Las Vegas
Pei Wei Asian Diner,2.5,302,36.0811202017,-115.1472152688,Las Vegas
AAA Bar & Restaurant Supply,3.0,17,36.1434315,-115.1248997,Las Vegas
Rita's Italian Ice,4.0,79,36.1991398,-115.2407892,Las Vegas
Ralphie May: No Apologies,4.0,6,36.1193098,-115.1717702,Las Vegas
Hamada's Asiana,1.5,3,36.1163819,-115.1850253,Las Vegas
McDonald's,2.5,12,36.272136,-115.2703444,Las Vegas
Max Muscle Nutrition,4.5,14,36.2744979,-115.2525025,Las Vegas
Niu-Gu Restaurant,4.0,99,36.1265151335,-115.2241969854,Las Vegas
Sushi Tower & Steakhouse,4.0,240,36.1145538,-115.3075865,Las Vegas
Hazel Fresh Crepes and Ice Cream Custard,4.5,64,36.056157,-115.2813044,Las Vegas
Five Star Tavern,3.0,9,36.1938247,-115.2068441,Las Vegas
Mediterranean Market,3.5,24,36.1257892,-115.2237888,Las Vegas
King Kratom 420 Smoke Shop,3.5,18,36.1150723,-115.1418179,Las Vegas
Dairy Queen,2.5,26,36.1426643677,-115.137812386,Las Vegas
Tacos Mexico,2.5,9,36.100396,-115.187333,Las Vegas
Luke's Lobster Las Vegas,4.5,842,36.1266160786,-115.1695652661,Las Vegas
Count's Vamp'd,3.5,310,36.1446784,-115.2395362,Las Vegas
Almaza Hookah Cafe,2.5,31,36.0211784089,-115.1507033228,Las Vegas
JINYA Ramen Bar,4.0,1836,36.1157508,-115.2068401,Las Vegas
The Valley Thai Restaurant,4.5,175,36.0571681,-115.12893,Las Vegas
Stage LV,5.0,5,36.115461,-115.2885276,Las Vegas
El Pollo Loco,2.0,71,36.238856,-115.180591,Las Vegas
PT's,2.5,27,36.1008878,-115.0792238,Las Vegas
Freed's Bakery,4.0,1187,36.0109982442,-115.1199579951,Las Vegas
Michael's Gourmet Pantry,5.0,4,36.0757757888,-115.1916760138,Las Vegas
Maru's Pizza & Italian Bistro,4.0,60,36.1428450405,-115.2685006324,Las Vegas
Carvel Ice Cream,3.5,4,36.0858828,-115.149411,Las Vegas
The Nerd,3.0,211,36.170048211,-115.1409596577,Las Vegas
Inaka Sushi,3.0,157,36.0196553,-115.2712159,Las Vegas
Downtown Container Park,4.0,882,36.168024,-115.138276,Las Vegas
Ichiban,2.5,15,36.1275236,-115.1715003,Las Vegas
Hyde Lounge,3.0,14,36.1031181,-115.1781703,Las Vegas
Lee's Discount Liquor,4.0,62,36.1144728691,-115.2951361858,Las Vegas
Kushiyaki Inyo,4.5,328,36.126117184,-115.223357154,Las Vegas
Michael Mina,4.0,681,36.11199,-115.177001,Las Vegas
Siena Foods Italian Market,4.5,3,36.0782420816,-115.1910234233,Las Vegas
Frijoles & Frescas,3.5,76,36.1301373814,-115.1158431172,Las Vegas
Firehouse Subs,3.5,13,36.143303241,-115.2621609325,Las Vegas
Pizza Lounge,3.5,75,36.1675004657,-115.2859196439,Las Vegas
El Santaneco,3.5,28,36.1049744,-115.1359993,Las Vegas
The Perq,3.5,111,36.142318,-115.156539,Las Vegas
Wichcraft,3.0,260,36.1024457969,-115.169506073,Las Vegas
Dotty's,3.5,3,36.1958171,-115.0641048,Las Vegas
Magnum Coffee Roastery Café & Store,4.5,111,36.071234279,-115.134904893,Las Vegas
Old School Brewing Company,3.5,126,36.1298037603,-115.2746141329,Las Vegas
Tacos El Gordo,4.0,1793,36.1584751,-115.1265495,Las Vegas
The Charcoal Room,3.5,212,36.2505580649,-115.2440329054,Las Vegas
Earl of Sandwich,4.5,5232,36.1094075,-115.1718738,Las Vegas
Red Rock Pool,4.0,25,36.1564007,-115.3335552,Las Vegas
N Scott Distillery,5.0,3,36.2147381,-115.2131387,Las Vegas
GNC,2.0,6,36.1967482255,-115.2594572261,Las Vegas
Fin,3.0,141,36.1216024764,-115.1744376229,Las Vegas
